foundation,course_number,type
Financial Accounting,30116,approved_substitue
Financial Accounting,30120,approved_substitue
Financial Accounting,30122,approved_substitue
Financial Accounting,30130,approved_substitue
Financial Accounting,30131,approved_substitue
Financial Accounting,30000,basic_course
Microeconomics,33001,basic_course
Microeconomics,33002,basic_course
Microeconomics,33101,basic_course
Microeconomics,33230,approved_substitue
Microeconomics,30100,approved_substitue
Microeconomics,30200,approved_substitue
Statistics,41000,basic_course
Statistics,41100,basic_course
Statistics,41201,approved_substitue
Statistics,41202,approved_substitue
Statistics,41203,approved_substitue
Statistics,41204,approved_substitue
Statistics,41206,approved_substitue
Statistics,41207,approved_substitue
Statistics,41215,approved_substitue
Statistics,41301,approved_substitue
Statistics,41305,approved_substitue
Statistics,41813,approved_substitue
Statistics,41814,approved_substitue
Statistics,41901,approved_substitue
Statistics,41902,approved_substitue
Statistics,41903,approved_substitue
Statistics,41910,approved_substitue
Statistics,41916,approved_substitue
